PS-b-2PLA	
X:	Y:
1.37667	-0.095
1.37833	-0.109
1.38	-0.115
1.38167	-0.103
1.38333	-0.104
1.385	-0.116
1.38667	-0.118
1.38833	-0.105
1.39	-0.107
1.39167	-0.122
1.39333	-0.126
1.395	-0.108
1.39667	-0.111
1.39833	-0.123
1.4	-0.129
1.40167	-0.112
1.40333	-0.107
1.405	-0.119
1.40667	-0.12
1.40833	-0.103
1.41	-0.104
1.41167	-0.115
1.41333	-0.118
1.415	-0.102
1.41667	-0.099
1.41833	-0.113
1.42	-0.116
1.42167	-0.099
1.42333	-0.1
1.425	-0.112
1.42667	-0.117
1.42833	-0.101
1.43	-0.1
1.43167	-0.114
1.43333	-0.117
1.435	-0.1
1.43667	-0.101
1.43833	-0.112
1.44	-0.115
1.44167	-0.098
1.44333	-0.098
1.445	-0.114
1.44667	-0.123
1.44833	-0.106
1.45	-0.104
1.45167	-0.115
1.45333	-0.121
1.455	-0.103
1.45667	-0.101
1.45833	-0.113
1.46	-0.123
1.46167	-0.106
1.46333	-0.104
1.465	-0.116
1.46667	-0.121
1.46833	-0.103
1.47	-0.102
1.47167	-0.115
1.47333	-0.121
1.475	-0.108
1.47667	-0.108
1.47833	-0.121
1.48	-0.124
1.48167	-0.105
1.48333	-0.104
1.485	-0.119
1.48667	-0.123
1.48833	-0.109
1.49	-0.113
1.49167	-0.127
1.49333	-0.136
1.495	-0.117
1.49667	-0.113
1.49833	-0.127
1.5	-0.133
1.50167	-0.116
1.50333	-0.113
1.505	-0.124
1.50667	-0.132
1.50833	-0.118
1.51	-0.115
1.51167	-0.124
1.51333	-0.131
1.515	-0.116
1.51667	-0.112
1.51833	-0.122
1.52	-0.13
1.52167	-0.112
1.52333	-0.11
1.525	-0.12
1.52667	-0.126
1.52833	-0.107
1.53	-0.106
1.53167	-0.118
1.53333	-0.129
1.535	-0.112
1.53667	-0.112
1.53833	-0.125
1.54	-0.129
1.54167	-0.112
1.54333	-0.111
1.545	-0.123
1.54667	-0.128
1.54833	-0.11
1.55	-0.109
1.55167	-0.12
1.55333	-0.128
1.555	-0.114
1.55667	-0.114
1.55833	-0.124
1.56	-0.129
1.56167	-0.113
1.56333	-0.108
1.565	-0.119
1.56667	-0.128
1.56833	-0.113
1.57	-0.113
1.57167	-0.125
1.57333	-0.132
1.575	-0.114
1.57667	-0.109
1.57833	-0.122
1.58	-0.129
1.58167	-0.112
1.58333	-0.109
1.585	-0.118
1.58667	-0.123
1.58833	-0.108
1.59	-0.106
1.59167	-0.117
1.59333	-0.122
1.595	-0.107
