Calibration Curve RI	
X:	Y:
0.98833	9.000
0.99000	9.000
0.99167	9.000
0.99333	9.000
0.99500	9.000
0.99667	9.000
0.99833	9.000
1.00000	9.000
1.00167	9.000
1.00333	9.000
1.00500	9.000
1.00667	9.000
1.00833	9.000
1.01000	9.000
1.01167	9.000
1.01333	9.000
1.01500	9.000
1.01667	9.000
1.01833	9.000
1.02000	9.000
1.02167	9.000
1.02333	9.000
1.02500	9.000
1.02667	9.000
1.02833	9.000
1.03000	9.000
1.03167	9.000
1.03333	9.000
1.03500	9.000
1.03667	9.000
1.03833	9.000
1.04000	9.000
1.04167	9.000
1.04333	9.000
1.04500	9.000
1.04667	9.000
1.04833	9.000
1.05000	9.000
1.05167	9.000
1.05333	9.000
1.05500	9.000
1.05667	9.000
1.05833	9.000
1.06000	9.000
1.06167	9.000
1.06333	9.000
1.06500	9.000
1.06667	9.000
1.06833	9.000
1.07000	9.000
1.07167	9.000
1.07333	9.000
1.07500	9.000
1.07667	9.000
1.07833	9.000
1.08000	9.000
1.08167	9.000
1.08333	9.000
1.08500	9.000
1.08667	9.000
1.08833	9.000
1.09000	9.000
1.09167	9.000
1.09333	9.000
1.09500	9.000
1.09667	9.000
1.09833	9.000
1.10000	9.000
1.10167	9.000
1.10333	9.000
1.10500	9.000
1.10667	9.000
1.10833	9.000
1.11000	9.000
1.11167	9.000
1.11333	9.000
1.11500	9.000
1.11667	9.000
1.11833	9.000
1.12000	9.000
1.12167	9.000
1.12333	9.000
1.12500	9.000
1.12667	9.000
1.12833	9.000
1.13000	9.000
1.13167	9.000
1.13333	9.000
1.13500	9.000
1.13667	9.000
1.13833	9.000
1.14000	9.000
1.14167	9.000
1.14333	9.000
1.14500	9.000
1.14667	9.000
1.14833	9.000
1.15000	9.000
1.15167	9.000
1.15333	9.000
1.15500	9.000
1.15667	9.000
1.15833	9.000
1.16000	9.000
1.16167	9.000
1.16333	9.000
1.16500	9.000
1.16667	9.000
1.16833	9.000
1.17000	9.000
1.17167	9.000
1.17333	9.000
1.17500	9.000
1.17667	9.000
1.17833	9.000
1.18000	9.000
1.18167	9.000
1.18333	9.000
1.18500	9.000
1.18667	9.000
1.18833	9.000
1.19000	9.000
1.19167	9.000
1.19333	9.000
1.19500	9.000
1.19667	9.000
1.19833	9.000
1.20000	9.000
1.20167	9.000
1.20333	9.000
1.20500	9.000
1.20667	9.000
1.20833	9.000
1.21000	9.000
1.21167	9.000
1.21333	9.000
1.21500	9.000
1.21667	9.000
1.21833	9.000
1.22000	9.000
1.22167	9.000
1.22333	9.000
1.22500	9.000
1.22667	9.000
1.22833	9.000
1.23000	9.000
1.23167	9.000
1.23333	9.000
1.23500	9.000
1.23667	9.000
1.23833	9.000
1.24000	9.000
1.24167	9.000
1.24333	9.000
1.24500	9.000
1.24667	9.000
1.24833	9.000
1.25000	9.000
1.25167	9.000
1.25333	9.000
1.25500	9.000
1.25667	9.000
1.25833	9.000
1.26000	9.000
1.26167	9.000
1.26333	9.000
1.26500	9.000
1.26667	9.000
1.26833	9.000
1.27000	9.000
1.27167	9.000
1.27333	9.000
1.27500	9.000
1.27667	9.000
1.27833	9.000
1.28000	9.000
1.28167	9.000
1.28333	9.000
1.28500	9.000
1.28667	9.000
1.28833	9.000
1.29000	9.000
1.29167	9.000
1.29333	9.000
1.29500	9.000
1.29667	9.000
1.29833	9.000
1.30000	9.000
1.30167	9.000
1.30333	9.000
1.30500	9.000
1.30667	9.000
1.30833	9.000
1.31000	9.000
1.31167	9.000
1.31333	9.000
1.31500	9.000
1.31667	9.000
1.31833	9.000
1.32000	9.000
1.32167	9.000
1.32333	9.000
1.32500	9.000
1.32667	9.000
1.32833	9.000
1.33000	9.000
1.33167	9.000
1.33333	9.000
1.33500	9.000
1.33667	9.000
1.33833	9.000
1.34000	9.000
1.34167	9.000
1.34333	9.000
1.34500	9.000
1.34667	9.000
1.34833	9.000
1.35000	9.000
1.35167	9.000
1.35333	9.000
1.35500	9.000
1.35667	9.000
1.35833	9.000
1.36000	9.000
1.36167	9.000
1.36333	9.000
1.36500	9.000
1.36667	9.000
1.36833	9.000
1.37000	9.000
1.37167	9.000
1.37333	9.000
1.37500	9.000
1.37667	9.000
1.37833	9.000
1.38000	9.000
1.38167	9.000
1.38333	9.000
1.38500	9.000
1.38667	9.000
1.38833	9.000
1.39000	9.000
1.39167	9.000
1.39333	9.000
1.39500	9.000
1.39667	9.000
1.39833	9.000
1.40000	9.000
1.40167	9.000
1.40333	9.000
1.40500	9.000
1.40667	9.000
1.40833	9.000
1.41000	9.000
1.41167	9.000
1.41333	9.000
1.41500	9.000
1.41667	9.000
1.41833	9.000
1.42000	9.000
1.42167	9.000
1.42333	9.000
1.42500	9.000
1.42667	9.000
1.42833	9.000
1.43000	9.000
1.43167	9.000
1.43333	9.000
1.43500	9.000
1.43667	9.000
1.43833	9.000
1.44000	9.000
1.44167	9.000
1.44333	9.000
1.44500	9.000
1.44667	9.000
1.44833	9.000
1.45000	9.000
1.45167	9.000
1.45333	9.000
1.45500	9.000
1.45667	9.000
1.45833	9.000
1.46000	9.000
1.46167	9.000
1.46333	9.000
1.46500	9.000
1.46667	9.000
1.46833	9.000
1.47000	9.000
1.47167	9.000
1.47333	9.000
1.47500	9.000
1.47667	9.000
1.47833	9.000
1.48000	9.000
1.48167	9.000
1.48333	9.000
1.48500	9.000
1.48667	9.000
1.48833	9.000
1.49000	9.000
1.49167	9.000
1.49333	9.000
1.49500	9.000
1.49667	9.000
1.49833	9.000
1.50000	9.000
1.50167	9.000
1.50333	9.000
1.50500	9.000
1.50667	9.000
1.50833	9.000
1.51000	9.000
1.51167	9.000
1.51333	9.000
1.51500	9.000
1.51667	9.000
1.51833	9.000
1.52000	9.000
1.52167	9.000
1.52333	9.000
1.52500	9.000
1.52667	9.000
1.52833	9.000
1.53000	9.000
1.53167	9.000
1.53333	9.000
1.53500	9.000
1.53667	9.000
1.53833	9.000
1.54000	9.000
1.54167	9.000
1.54333	9.000
1.54500	9.000
1.54667	9.000
1.54833	9.000
1.55000	9.000
1.55167	9.000
1.55333	9.000
1.55500	9.000
1.55667	9.000
1.55833	9.000
1.56000	9.000
1.56167	9.000
1.56333	9.000
1.56500	9.000
1.56667	9.000
1.56833	9.000
1.57000	9.000
